Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
DSCVF,DISCOVERY CORP ENTERPRISES,586420.00,Materials,Metals & Mining,--,+0.5
DSE,Duff & Phelps Selct Mlp Mdsm Egy Fd Inc,14164200.00,,,--,+2.8
DSGT,DSG Global Inc,26214880.00,,,--,+1.4
DSKE,Daseke Inc,416472310.00,Industrials,Road & Rail,--,+2.0
DSM,BNY Mellon Strategic Municipal BndFndInc,386974260.00,,,4.60%,+0.2
DSOL,Drug Free Solution Inc,39181770.00,Health Care,Health Care Providers & Services,--,--
DSOX,Triton Emission Solutions Inc,251360.00,Industrials,Commercial Services & Supplies,--,+1.1
DSPA,Ankaa Corp,34540.00,,,--,--
DSPG,"DSP Group, Inc.",395367730.00,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.0
DSS,"Document Security Systems, Inc.",30026220.00,Industrials,Commercial Services & Supplies,--,+2.1
DSSI,Diamond S Shipping Inc,314024360.00,Energy,"Oil, Gas & Consumable Fuels",--,--
DSTR,DualStar Technologies Corporation,24160.00,,,--,--
DSU,"BlackRock Debt Strategies Fund, Inc.",484204050.00,,,7.03%,+0.8
DSWL,"Deswell Industries, Inc.",45198600.00,Information Technology,"Electronic Equipment, Instruments & Components",6.29%,+0.5
DSX,Diana Shipping Inc,162480500.00,Industrials,Marine,--,+1.4
DTEA,DavidsTea Inc,46388160.00,Consumer Discretionary,Specialty Retail,--,+3.3
DTEMF,Ditem Explorations Inc.,64250.00,Materials,Metals & Mining,--,--
DTF,DTF Tax Free Income Inc.,126196010.00,,,3.24%,+0.3
DTGI,Digerati Technologies Inc,5121140.00,Communication Services,Diversified Telecommunication Services,--,+0.9
DTHR,Dthera Sciences,85380.00,,,--,--
DTII,Defense Technologies International Corp,353030.00,Information Technology,"Electronic Equipment, Instruments & Components",--,-1.5
DTIL,Precision BioSciences Inc,382290560.00,Health Care,Biotechnology,--,--
DTRC,Dakota Territory Resource Corp,79596460.00,Materials,Metals & Mining,--,-1.6
DTRK,"DATATRAK International, Inc.",11950000.00,Health Care,Health Care Technology,--,+0.8
DTRO,Deltron Inc,50460.00,,,--,-0.5
DTSS,Datasea Inc,44610720.00,Information Technology,Software,--,+0.5
DTST,Data Storage Corp,18998060.00,Information Technology,IT Services,--,+1.1
DUC,Duff & Phelps Utility & Corp Bond Trust,273300300.00,,,6.04%,+0.3
DUO,Fangdd Network Group Ltd - ADR,657100890.00,Communication Services,Interactive Media & Services,--,--
DUOT,Duos Technologies Group Inc,15301870.00,Information Technology,Software,--,+1.9
DUUO,Duo World Inc,4065240.00,,,--,--
DUVNF,PERUVIAN METALS CORP,2565820.00,Materials,Metals & Mining,--,+1.5
DVAX,Dynavax Technologies Corporation,497184480.00,Health Care,Biotechnology,--,+1.4
DVCR,Diversicare Healthcare Services Inc,24998850.00,Health Care,Health Care Providers & Services,--,+0.7
DVD,"Dover Motorsports, Inc.",70561680.00,Consumer Discretionary,"Hotels, Restaurants & Leisure",3.66%,+0.7
DVLN,"DVL, Inc.",13200000.00,Financials,Thrifts & Mortgage Finance,--,--
DVLY,Deer Valley Corporation,9298800.00,Consumer Discretionary,Household Durables,--,+1.3
DVNGF,DEVIN ENERGY CORP,820.00,Energy,"Oil, Gas & Consumable Fuels",--,--
DVNHF,FRONTIER SVCS GROUP LTD SHS,119069910.00,,,--,+1.1
DVSPF,DIVIDEND 15 SPLIT CORP CL A SHARES,299330100.00,,,17.58%,+1.8
DWIS,Dinewise Inc,682710.00,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
DWOG,"Deep Well Oil & Gas, Inc.",5107240.00,Energy,"Oil, Gas & Consumable Fuels",--,+1.5
DWSN,Dawson Geophysical Co,49273280.00,Energy,Energy Equipment & Services,--,+2.0
DX,Dynex Capital Inc,418230150.00,Financials,Mortgage Real Estate Investment Trusts (REITs),8.63%,+1.3
DXF,Dunxin Financial Holdings Ltd (ADR),30321520.00,Financials,Diversified Financial Services,--,+1.9
DXIEF,DXI Capital Corp,800710.00,Energy,"Oil, Gas & Consumable Fuels",--,+0.1
DXLG,Destination XL Group Inc,16850620.00,Consumer Discretionary,Specialty Retail,--,+1.9
DXPE,DXP Enterprises Inc,404033610.00,Industrials,Trading Companies & Distributors,--,+2.8
DXR,Daxor Corporation,47251350.00,Health Care,Health Care Equipment & Supplies,--,-0.9
DXYN,Dixie Group Inc,40958260.00,Consumer Discretionary,Household Durables,--,+2.9
DYAI,"Dyadic International, Inc.",171487680.00,Health Care,Biotechnology,--,+0.2
DYFSF,DYNACERT INC,153604450.00,Industrials,Machinery,--,+2.1
DYLLF,DEEP YELLOW LTD SHS,88206470.00,,,--,+0.3
DYN,Dyne Therapeutics Inc,900947130.00,,,--,--
DYNA,Dynastar Holdings Inc,2884090.00,Utilities,Electric Utilities,--,--
DYNE,"DynTek, Inc",41490000.00,Information Technology,IT Services,--,--
DYNR,Dynaresource Inc,13735320.00,Materials,Metals & Mining,--,+0.5
DYNT,Dynatronics Corporation,11385920.00,Health Care,Health Care Equipment & Supplies,--,-0.1
DYRFF,Dunes Exploration Ltd,0.00,,,--,--
DYSL,Dynasil Corporation of America,22354470.00,Information Technology,"Electronic Equipment, Instruments & Components",--,+0.3
DYXC,DiaSys Corporation,10290.00,Health Care,Health Care Equipment & Supplies,--,--
DZSI,DZS Inc,306422400.00,Information Technology,Communications Equipment,--,+1.3
EAATF,EARTHWORKS INDUSTRIES INC,13544200.00,Industrials,Commercial Services & Supplies,--,+1.5
EACC,"Eautoclaims, Inc.",0.00,Financials,Insurance,--,--
EACO,EACO Corp,97191380.00,Information Technology,"Electronic Equipment, Instruments & Components",--,+0.5
EAD,Wells Fargo Income Opportunities Fund,492404920.00,,,8.53%,+0.8
EAPH,Easton Pharmaceuticals Inc,916390.00,Health Care,Pharmaceuticals,--,-2.8
EARN,Ellington Residential Mortgage REIT,148883450.00,Financials,Mortgage Real Estate Investment Trusts (REITs),9.25%,+1.9
EARS,Auris Medical Holding Ltd,24010800.00,Health Care,Pharmaceuticals,--,+0.9
EAST,Eastside Distilling Inc,14645010.00,Consumer Staples,Beverages,--,+1.8
EATR,Eastern Asteria Inc,1883580.00,Consumer Discretionary,Internet & Direct Marketing Retail,--,--
EAUI,"EAU Technologies, Inc.",222880.00,Industrials,Machinery,--,+0.0
EAWD,Energy & Water Development Corp,15592080.00,Industrials,Machinery,--,+2.4
EAXR,Ealixir Inc,2149840.00,,,--,-2.8
EBF,"Ennis, Inc.",449077740.00,Industrials,Commercial Services & Supplies,5.24%,+0.5
EBML,eBullion Inc,3839370.00,,,--,+3.0
EBMT,Eagle Bancorp Montana Inc,141876000.00,Financials,Banks,1.77%,+0.7
EBODF,New Energy Exchange Ltd,172910.00,Industrials,Electrical Equipment,--,+0.2
EBON,Ebang International Holdings Inc,528071050.00,,,--,--
EBSB,Meridian Bancorp Inc (MARYLAND),764181540.00,Financials,Thrifts & Mortgage Finance,2.19%,+0.9
EBTC,"Enterprise Bancorp, Inc",320001410.00,Financials,Banks,2.60%,+0.5
EBYH,Strainsforpains Inc,1061210.00,Energy,"Oil, Gas & Consumable Fuels",--,+2.4
ECAOF,ECO (ATLANTIC) OIL & GAS LTD,58456920.00,Energy,"Oil, Gas & Consumable Fuels",--,+2.3
ECCE,Eagle Ford Oil & Gas Corp,973160.00,Energy,"Oil, Gas & Consumable Fuels",--,+0.6
ECDD,Ecrid Inc,15178230.00,,,--,-0.0
ECDP,Eco Depot Inc,28670.00,,,--,-0.0
ECEZ,Ecosciences Inc,125900.00,,,--,+0.2
ECF,Ellsworth Growth and Income Fund Ltd,174966250.00,,,28.57%,+1.1
ECGI,ECGI Holdings Inc,3651910.00,Health Care,Health Care Equipment & Supplies,--,-4.8
ECHO,"Echo Global Logistics, Inc.",772430240.00,Industrials,Air Freight & Logistics,--,+1.1
ECIA,Encision Inc,4864860.00,Health Care,Health Care Equipment & Supplies,--,-0.4
ECMH,Encompass Holdings Inc.,59390.00,Consumer Discretionary,Leisure Products,--,--
ECMT,Ecomat Inc,1428720.00,,,--,+0.4
ECNRF,WORLDWIDE RESOURCES CORP,185100.00,Materials,Metals & Mining,--,+2.1
ECOM,ChannelAdvisor Corp,426880000.00,Information Technology,Software,--,+1.0
ECOP,Eco-Shift Power Corp,7810.00,Industrials,Trading Companies & Distributors,--,--
ECOR,"electroCore, Inc.",76362720.00,Health Care,Health Care Equipment & Supplies,--,--
ECOS,Ecolocap Solutions Inc.,0.00,Industrials,Electrical Equipment,--,--
ECPN,"El Capitan Precious Metals, Inc.",3326980.00,Materials,Metals & Mining,--,+1.2
ECRD,Ecard Inc,27281110.00,,,--,-1.2
ECRFF,CARTIER RESOURCES INC,41625140.00,Materials,Metals & Mining,--,+1.7
ECRO,ECC Capital Corporation,5047800.00,Financials,Mortgage Real Estate Investment Trusts (REITs),--,-0.3
ECRP,Chee Corp,59923500.00,,,--,--
ECRTF,ATEX RESOURCES INC,3719250.00,Materials,Metals & Mining,--,+1.8
ECSNF,ECOSYNTHETIX INC,125937180.00,Materials,Chemicals,--,+0.9
ECTE,Echo Therapeutics Inc,120040.00,Health Care,Health Care Equipment & Supplies,--,+6.8
ECTM,Eca Marcellus Trust I,4401250.00,Energy,"Oil, Gas & Consumable Fuels",56.67%,+1.6
ECVTF,ECONOMIC INVT TR LTD COM,441540850.00,,,1.18%,+0.9
ECXJ,Cxj Group Co Ltd,110620830.00,,,--,--
EDAP,Edap Tms SA (ADR),134053200.00,Health Care,Health Care Equipment & Supplies,--,+1.9
EDD,Mrgn Stnly Emrgng Mrkts Dmtc Dbt Fnd Inc,418362360.00,,,6.94%,+0.8
EDF,Stone Harbor Emerging Markets Income Fnd,135143300.00,,,11.99%,+1.0
EDHD,"Edd Helms Group, Inc.",4212900.00,Industrials,Commercial Services & Supplies,--,--
EDMCQ,Education Management Corp,161360.00,Consumer Discretionary,Diversified Consumer Services,--,+1.7
EDN,Empresa Distribuidora y Cmrz Nrt SA(ADR),80484040.00,Utilities,Electric Utilities,--,+0.5
EDRY,EuroDry Ltd,13092400.00,Industrials,Marine,--,--
EDSA,Edesa Biotech Inc,51199660.00,Health Care,Biotechnology,--,+0.6
EDSFF,Exceed Co Ltd,101260.00,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",--,+6.7
EDTK,Skillful Craftsman Education Tech Ltd,36360000.00,,,--,--
EDTXF,Spectral Medical Inc,68154360.00,Health Care,Biotechnology,--,+1.8
EDUC,Educational Development Corporation,133779560.00,Consumer Discretionary,Distributors,2.51%,+1.2
EEA,European Equity Fund Inc,77336680.00,,,1.44%,+1.1
EEGI,"Eline Entertainment Group, Inc.",826450.00,Consumer Discretionary,Diversified Consumer Services,--,--
EENR,Elite Energies Inc,73580.00,,,--,--
EESE,Energy and Environmental Services Inc,2107040.00,Materials,Chemicals,--,-1.3
EESH,"EESTech, Inc.",5898000.00,Industrials,Machinery,--,+0.7
EESO,Cucos Inc.,364600.00,,,--,--
EEX,Emerald Holding Inc,335772700.00,Communication Services,Media,--,+1.9
EFBI,Eagle Financial Bancorp Inc,25802900.00,Financials,Thrifts & Mortgage Finance,1.23%,+0.1
EFC,Ellington Financial Inc,654103080.00,Financials,Mortgage Real Estate Investment Trusts (REITs),8.04%,+2.1
EFF,Eaton Vance FloatingRate Incme Plus Fund,117816940.00,,,5.23%,+0.7
EFIR,"EGPI Firecreek, Inc.",1904290.00,Energy,"Oil, Gas & Consumable Fuels",--,+7.7
EFLI,Cell Tech International Inc,97820.00,,,--,--
EFLN,Efuel EFN Corp,0.00,,,--,--
EFLS,Exercise For Life Systems Inc,48000.00,,,--,--
EFLT,eFleets Corp,88800.00,Consumer Discretionary,Automobiles,--,--
EFLVF,ELECTROVAYA INC,146464950.00,Industrials,Electrical Equipment,--,+2.3
EFOI,Energy Focus Inc,15512810.00,Industrials,Electrical Equipment,--,+2.4
EFR,Eaton Vance Senior Floating-Rate Trust,475154960.00,,,6.45%,+0.7
EFRTF,NEXUS REIT,168082070.00,Real Estate,Equity Real Estate Investment Trusts (REITs),8.46%,+1.0
EFSH,1847 Holdings LLC,7554800.00,,,--,--
EFSI,Eagle Financial Services Inc,100567040.00,Financials,Banks,3.57%,+0.7
EFT,Eaton Vance Floating-Rate Income Trust,532981680.00,,,5.94%,+0.7
EFTI,"EarthFirst Technologies, Inc.",61180.00,Industrials,Commercial Services & Supplies,--,--
EGAN,eGain Corp,348569830.00,Information Technology,Software,--,+0.4
EGBB,Earth Gen-Biofuel Inc,24645740.00,,,--,-2.9
EGDD,Eastern Goldfields Inc,107770.00,Materials,Metals & Mining,--,--
EGDW,Edgewater Bancorp Inc,25217000.00,Financials,Banks,--,+0.2
EGF,BlackRock Enhanced Government Fund Inc,62407300.00,,,3.74%,+0.1
EGFHF,ECHELON FINANCIAL HLDGS INC,15366200.00,Financials,Insurance,--,+0.5
EGLE,Eagle Bulk Shipping Inc.,209486280.00,Industrials,Marine,--,+1.5
EGOC,Energy 1 Corp,1050300.00,,,--,--
EGPLF,EAGLE PLAINS RESOURCES LTD,10928500.00,Materials,Metals & Mining,--,+0.8
EGRN,Evergreen-Agra Global Investments Inc,6588750.00,,,--,--
EGRX,Eagle Pharmaceuticals Inc,613061500.00,Health Care,Biotechnology,--,+0.7
EGTK,American Mobile Power Inc,899430.00,Energy,"Oil, Gas & Consumable Fuels",--,-3.0
EGXP,Eagle Exploration Company,77440.00,,,--,--
EGY,"VAALCO Energy, Inc.",93078720.00,Energy,"Oil, Gas & Consumable Fuels",--,+2.5
EGYF,Energy Finders Inc.,8094770.00,,,--,+3.3
EHI,Western Asset Global High Income Fnd Inc,450075420.00,,,7.74%,+0.8
EHVVF,ehave Inc,1016560.00,,,--,+2.4
EIC,Eagle Point Income Company Inc,88537000.00,,,6.81%,--
EIG,"Employers Holdings, Inc.",936507670.00,Financials,Insurance,3.08%,-0.0
EIGR,Eiger Biopharmaceuticals Inc,334428960.00,Health Care,Biotechnology,--,+1.5
EIHC,Environmental Infrastructure Hldngs Corp,15820.00,,,--,--
EINF,Enterprise Informatics Inc.,73160.00,Information Technology,Software,--,--
EIPC,Enable IPC Corp,218270.00,,,--,+2.5
EKCS,"Electronic Control Security, Inc.",1169160.00,Information Technology,"Electronic Equipment, Instruments & Components",--,+1.4
EKNL,EKO International Corp,443560.00,Industrials,Commercial Services & Supplies,--,+1.5
EKONF,GREAT WALL BELT RD HLDGS LTD COM SHS,10502800.00,,,--,+0.7
EKSN,Erickson Inc,248730.00,,,--,--
EKSO,Ekso Bionics Holdings Inc,43659830.00,Health Care,Health Care Equipment & Supplies,--,+2.3
ELA,Envela Corp,113892750.00,Consumer Discretionary,Specialty Retail,--,+0.1
ELAMF,"Elamex, S.A. de C.V.",76530600.00,,,--,--
ELCGF,ELECTRA STONE LTD,177240.00,Materials,Metals & Mining,--,--
ELCI,Eastern Light Capital Inc,15610.00,Financials,Mortgage Real Estate Investment Trusts (REITs),--,--
ELCO,"Elcom International, Inc.",161766000.00,Information Technology,Software,--,--
ELCR,"Electric Car Company, Inc.",3407920.00,Consumer Discretionary,Automobiles,--,--
ELED,ExeLED Holdings Inc,24940.00,Industrials,Electrical Equipment,--,-1.0
ELGT,"Electric & Gas Technology, Inc.",0.00,,,--,--
ELJ,Entergy Louisiana LLC,202319200.00,,,5.36%,+0.1
ELKMF,GOLD ROAD RESOURCES LTD SHS,789732690.00,,,--,+0.2
ELLH,Elah Holdings Inc,59120000.00,,,--,--
ELLO,Ellomay Capital Ltd.,399350260.00,Utilities,Independent Power & Renewable Electricity Producers,--,+1.3
ELMD,"Electromed, Inc.",84941220.00,Health Care,Health Care Equipment & Supplies,--,+0.4
ELNX,"Aperture Health, Inc.",4160.00,,,--,--
ELOX,Eloxx Pharmaceuticals Inc,119655940.00,Health Care,Pharmaceuticals,--,+2.5
ELRA,Elray Resources Inc,721680.00,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
ELRE,Yinfu Gold Corp,22315500.00,Communication Services,Interactive Media & Services,--,--
ELRNF,Elron Electronic Industries Ltd (USA),138462590.00,Financials,Diversified Financial Services,--,+0.8
ELRRF,ELORO RESOURCES LTD,56857010.00,Materials,Metals & Mining,--,+1.6
ELSE,"Electro-Sensors, Inc.",13940580.00,Information Technology,"Electronic Equipment, Instruments & Components",--,+0.6
ELST,"Electronic Systems Technology, Inc.",1484100.00,Information Technology,Communications Equipment,--,+0.5
ELTK,Eltek Ltd.,21103720.00,Information Technology,"Electronic Equipment, Instruments & Components",--,-2.6
ELTP,Elite Pharmaceuticals Inc,57523090.00,Health Care,Pharmaceuticals,--,+0.8
ELTZ,Elite Group Inc,89950.00,,,--,--
ELVAF,EVOLVA HOLDING AG NAMEN AKT,187622600.00,,,--,+1.8
ELVG,Elvictor Group Inc,10829850.00,,,--,--
ELVT,Elevate Credit Inc,118968750.00,Financials,Consumer Finance,--,+2.8
ELXMF,NOVA EYE MEDICAL LTD SHS,42362290.00,,,--,+0.8
ELXPF,ELIXIR ENERGY LIMITED SHS NEW,58659200.00,,,--,+1.2
ELYS,Elys Game Technology Corp,49301740.00,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,+3.7
EMAN,eMagin Corporation,80325000.00,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.8
EMBI,Emerald Bioscience Inc,7502220.00,Health Care,Biotechnology,--,+0.3
EMBYF,NEXERA ENERGY INC,1189790.00,Energy,"Oil, Gas & Consumable Fuels",--,+1.6
EMCF,Emclaire Financial Corp,66391090.00,Financials,Banks,4.90%,+0.4
EMD,Western Asset Emerging Mrkts Dbt Fnd Inc,829425880.00,,,7.96%,+0.8
EMDF,XL Rent Inc,100640.00,Health Care,Health Care Equipment & Supplies,--,-8.8
EMED,Electromedical Technologies Inc,23627080.00,,,--,--
EMF,Templeton Emerging Markets,304895690.00,,,3.27%,+1.0
EMGCQ,Emergent Capital Inc,42836850.00,Financials,Consumer Finance,--,-1.3
EMKR,EMCORE Corporation,131398650.00,Information Technology,Communications Equipment,--,+1.2
EML,Eastern Co,144903150.00,Industrials,Machinery,1.91%,+1.1
EMLL,El Maniel International Inc,993670.00,,,--,--
EMMA,Emmaus Life Sciences Inc,65776740.00,Health Care,Pharmaceuticals,--,+2.3
EMMD,eMedia Group Inc,5784000.00,,,--,-0.2
EMMLF,OKYO PHARMA LTD ORD SHS,94159240.00,,,--,--
EMMS,Emmis Communications Corporation,22711300.00,Communication Services,Media,--,+1.1
EMNSF,ELEMENTIS PLC ORD,952513640.00,,,--,+2.6
EMO,Clearbridge Energy MidstreamOprtntyFdInc,219002340.00,,,8.81%,+3.2
EMPM,Empire Post Media Inc,9791850.00,,,--,+3.0
EMPO,Empowered Products Inc,119300.00,Consumer Staples,Personal Products,--,-1.1
EMPR,Empire Petroleum Corporation,8836660.00,Energy,"Oil, Gas & Consumable Fuels",--,+2.0
EMQU,Em Quantum Technologies Inc,7672800.00,Information Technology,Software,--,--
EMRN,e-MARINE Global Inc,1204270.00,Industrials,Transportation Infrastructure,--,--
EMRRF,OROGEN ROYALTIES INC,39151800.00,Materials,Metals & Mining,--,+1.6
EMYB,"Embassy Bancorp, Inc.",104650000.00,Financials,Banks,1.57%,+0.8
ENAB,"Enable Holdings, Inc.",50110.00,Consumer Discretionary,Internet & Direct Marketing Retail,--,+2.3
ENAFF,ENABLENCE TECHNOLOGIES INC,3915750.00,Information Technology,Communications Equipment,--,+1.4
ENBP,ENB Financial Corp.,102786000.00,Financials,Banks,3.44%,+0.3
ENCC,Encompass Compliance Corp,102380.00,Industrials,Professional Services,--,+1.4
ENCR,Ener-Core Inc,159600.00,Industrials,Electrical Equipment,--,+2.8
ENDGF,ENDURANCE GOLD CORP,12731770.00,Materials,Metals & Mining,--,+2.2
ENDO,Omnicanna Health Solutions Inc,407320.00,Consumer Staples,Personal Products,--,+1.6
ENDV,Endonovo Therapeutics Inc,540790.00,Health Care,Biotechnology,--,+2.0
ENG,ENGlobal Corp,53192730.00,Energy,Energy Equipment & Services,--,+2.7
ENGA,Engage Mobility Inc,230830.00,Communication Services,Media,--,-2.0
ENGFF,ENERGULF RESOURCES INC,990.00,Energy,"Oil, Gas & Consumable Fuels",--,--
ENGT,Energy & Technology Corp,16721660.00,Energy,Energy Equipment & Services,--,--
ENGY,Central Energy Partners LP,54850.00,Energy,"Oil, Gas & Consumable Fuels",--,+7.1
ENHD,Energroup Holdings Corp,338180.00,Consumer Staples,Food Products,--,--
ENHT,enherent Corp.,120460.00,Information Technology,IT Services,--,+2.7
ENKS,Enerkon Solar International Inc,3280550.00,,,--,+0.2
ENLV,Enlivex Therapeutics Ltd,134774640.00,Health Care,Biotechnology,--,+1.2
ENOB,Enochian Biosciences Inc,135191340.00,Health Care,Biotechnology,--,+0.4
ENPC,Executive Network Partnering Corp,418469400.00,,,--,--
ENPRF,CURRENT WATER TECHGS INC,2309530.00,Utilities,Water Utilities,--,+0.4
ENQUF,ENQUEST PLC LONDON SHS,254370300.00,,,--,+2.6
ENRFF,ENERFLEX LTD,486183940.00,Energy,Energy Equipment & Services,1.13%,+1.4
ENRT,Enertopia Corp,4637840.00,Materials,Metals & Mining,--,+0.7
ENSV,Enservco Corp,10131710.00,Energy,Energy Equipment & Services,--,+2.0
ENTA,Enanta Pharmaceuticals Inc,864400950.00,Health Care,Biotechnology,--,+0.5
ENTI,Encounter Technologies Inc,0.00,,,--,--
ENTX,Entera Bio Ltd,20881580.00,Health Care,Biotechnology,--,--
ENVA,Enova International Inc,809261540.00,Financials,Consumer Finance,--,+1.8
ENVS,Enova Systems Inc,409060.00,Consumer Discretionary,Auto Components,--,+2.8
ENX,Eaton Vance New York Municipal Bond Fund,222670220.00,,,4.28%,+0.1
ENYNF,EnerNorth Industries Inc.,1290.00,Energy,"Oil, Gas & Consumable Fuels",--,--
ENZ,"Enzo Biochem, Inc.",115905900.00,Health Care,Health Care Providers & Services,--,+0.9
ENZC,Enzolytics Inc,68114960.00,,,--,-0.8
ENZN,Enzon Pharmaceuticals Inc,17811600.00,Health Care,Biotechnology,50.00%,+0.7
EOD,Wells Fargo Global Dividend Oppty Fund,216408790.00,,,11.27%,+1.0
EOGSF,EMERALD RES NL SHS,206158800.00,,,--,+1.3
EOI,Eaton Vance Enhanced Equity Income Fund,616907050.00,,,6.83%,+1.0
EOLS,Evolus Inc,123595590.00,Health Care,Pharmaceuticals,--,--
EOPSF,ELECTRO OPTIC SYSTEMS LTD SHS,747895000.00,,,--,+2.0
EOPT,Eos Petro Inc,105440.00,Energy,"Oil, Gas & Consumable Fuels",--,-2.7
EOSC,Electro Optical Systems Corp,20.00,,,--,--
EOSE,Eos Energy Enterprises Inc,749207540.00,,,--,--
EOSI,"Eos International, Inc.",327290.00,,,--,+0.5
EOSS,Eos Inc,222369000.00,,,--,--
EOT,Eaton Vance National Municipl Opprtnt Tr,322644910.00,,,3.67%,+0.3
EPAZ,Auto Dataflow Inc,7769400.00,Information Technology,Software,--,+2.6
EPEO,E' Prime Aerospace Corporation,39220.00,Industrials,Aerospace & Defense,--,--
EPGC,Ecom Products Group Corp,62400.00,,,--,--
EPGG,Empire Global Gaming Inc,43741170.00,,,--,+1.2
EPIX,ESSA Pharma Inc,200017050.00,Health Care,Biotechnology,--,+1.8
EPM,Evolution Petroleum Corp,97906330.00,Energy,"Oil, Gas & Consumable Fuels",3.17%,+1.6
EPOR,EPIC Corp,3846600.00,Financials,Diversified Financial Services,--,-3.0
EPRSQ,Epirus Biopharmaceuticals Inc,130920.00,Health Care,Biotechnology,--,+6.0
EPSN,Epsilon Energy Ltd,80076910.00,Energy,"Oil, Gas & Consumable Fuels",--,+0.4
EPTI,Environmental Packaging Tech Holdngs Inc,0.00,,,--,--
EPWCF,Empower Clinics Inc,41119700.00,Health Care,Health Care Providers & Services,--,--
EPXY,EPOXY Inc,40.00,,,--,+1.1
EQ,Equillium Inc,114809630.00,Health Care,Biotechnology,--,--
EQBK,Equity BancShares Inc,317408610.00,Financials,Banks,--,+0.8
EQD,Equity Distribution Acquisition Corp,527332500.00,,,--,--
EQFN,Equitable Financial Corp.,34126780.00,Financials,Thrifts & Mortgage Finance,--,+0.6
EQKR,EQK Realty Investors I,0.00,,,--,--
EQOS,Diginex Ltd,46425000.00,,,--,--
EQS,"Equus Total Return, Inc.",15140160.00,Financials,Capital Markets,--,+0.9
EQTE,EQM Technologies & Energy Inc,2073700.00,,,--,--
EQTRF,ALTAMIRA GOLD CORP,18225360.00,Materials,Metals & Mining,--,+1.2
EQTXF,LAKE WINN RESOURCES CORP,2518510.00,Materials,Metals & Mining,--,+3.4
EQUI,"EquiFin, Inc.",19960.00,,,--,+7.6
EQUR,E-QURE Corp,1001830.00,,,--,+2.8
EQXLF,EQUATORIAL RESOURCES LTD SHS,39822509.77,,,--,+0.5
ERBB,American Green Inc,243150.00,Health Care,Pharmaceuticals,--,+0.1
ERC,Wells Fargo Multi-Sector Income Fund,360211050.00,,,9.47%,+0.7
EREPF,ZONTE METALS INC COM,8581280.00,,,--,+0.4
ERES,East Resources Acquisition Co,430516880.00,,,--,--
ERF,Enerplus Corp (USA),731070180.00,Energy,"Oil, Gas & Consumable Fuels",3.07%,+3.5
ERFB,"ERF Wireless, Inc.",2187330.00,Communication Services,Wireless Telecommunication Services,--,--
ERGN,Ergo Science Corporation,10800000.00,,,--,--
ERGO,Entia Biosciences Inc,336610.00,Consumer Staples,Personal Products,--,+1.1
ERH,Wells Fargo Utilities and High Incm Fund,119604840.00,,,6.61%,+0.7
ERHE,ERHC Energy Inc.,1727670.00,Energy,"Oil, Gas & Consumable Fuels",--,+0.3
ERII,"Energy Recovery, Inc.",674322000.00,Industrials,Machinery,--,+1.3
ERILF,EMPIRE INDUSTRIES LTD,44510960.00,Industrials,Construction & Engineering,--,+1.3
ERINQ,Erin Energy Corp,538340.00,Energy,"Oil, Gas & Consumable Fuels",--,+2.5
ERKH,Eureka Homestead Bancorp Inc,15780000.00,,,--,--
ERMAF,ERAMET SA SHS,748471600.00,,,--,+1.8
EROX,"Human Pheromone Sciences, Inc.",68510.00,Consumer Staples,Personal Products,--,+2.2
ERUC,"ER Urgent Care Holdings, Inc.",0.00,Health Care,Health Care Providers & Services,--,--
ERVFF,ERIN VENTURES INC,5770720.00,Materials,Metals & Mining,--,+0.4
ESBA,Empire State Realty OP LP,230514440.00,Real Estate,Equity Real Estate Investment Trusts (REITs),--,+1.3
ESBK,Elmira Savings Bank,40124160.00,Financials,Thrifts & Mortgage Finance,5.21%,+0.7
ESBS,ES Bancshares Inc,10200330.00,,,--,+0.4
ESCA,"Escalade, Inc.",260992980.00,Consumer Discretionary,Leisure Products,3.04%,+1.3
ESEA,Euroseas Ltd.,29288000.00,Industrials,Marine,--,+0.9
ESGC,Eros Stx Global Corp,460109250.00,Communication Services,Entertainment,--,+1.6
ESGI,EnSurge Inc,11761920.00,Materials,Metals & Mining,--,+2.2
ESHDF,ESPRIT HLDGS LTD SHS,188721200.00,,,--,+1.2
ESINQ,"ITT Educational Services, Inc.",43180.00,Consumer Discretionary,Diversified Consumer Services,--,--
ESIV,Essential Innovations Technology Corp,0.00,Industrials,Machinery,--,--
ESKYF,ESKAY MINING CORP,122405900.00,Materials,Metals & Mining,--,+1.3
ESMC,Escalon Medical Corp.,1021790.00,Health Care,Health Care Equipment & Supplies,--,-0.9
ESNC,EnSync Inc,483420.00,Industrials,Electrical Equipment,--,+1.5
ESNR,"Electronic Sensor Technology, Inc.",485760.00,Information Technology,"Electronic Equipment, Instruments & Components",--,+0.9
ESOA,Energy Services of America Corp.,13621000.00,Energy,Energy Equipment & Services,--,+0.5
ESP,Espey Manufacturing & Electronics Corp.,49862250.00,Industrials,Electrical Equipment,4.78%,+0.2
